ts_code,trade_date,open,high,low,close,vol,amount
002594.SZ,20250730,108.05,111.16,107.12,108.7,524834.27,5743878.668
002594.SZ,20250729,112.01,112.5,109.77,111.42,387359.84,4322742.015
002594.SZ,20250728,337.93,339.1,335.53,337.0,117056.7,3947000.994
002594.SZ,20250725,341.0,341.4,335.0,337.93,157040.76,5307866.611
002594.SZ,20250724,338.08,346.54,337.63,342.72,189063.27,6489370.096
002594.SZ,20250723,342.09,343.0,337.0,338.07,158907.35,5395840.274
002594.SZ,20250722,335.0,342.01,333.21,341.69,214164.17,7227731.007
002594.SZ,20250721,327.99,334.12,327.26,334.12,153945.03,5102459.146
002594.SZ,20250718,329.13,329.5,325.25,329.11,136866.49,4482466.755
002594.SZ,20250717,325.0,328.72,324.1,328.02,156891.35,5138610.961
002594.SZ,20250716,323.06,325.91,323.06,323.72,110758.35,3594544.238
002594.SZ,20250715,318.2,325.0,318.0,323.05,162790.94,5252631.322
002594.SZ,20250714,323.91,323.91,317.56,318.49,172309.14,5502331.854
002594.SZ,20250711,319.9,326.85,319.02,323.91,168269.83,5456832.018
002594.SZ,20250710,325.81,326.09,318.85,321.23,210022.06,6741345.468
002594.SZ,20250709,326.9,328.21,325.78,325.8,121633.11,3969384.13
002594.SZ,20250708,327.0,329.78,325.72,326.88,116918.14,3825413.668
002594.SZ,20250707,329.2,330.49,328.44,328.59,88207.72,2901015.557
002594.SZ,20250704,332.55,334.99,329.77,331.0,104103.55,3454495.463
002594.SZ,20250703,330.98,335.25,330.67,334.56,123497.81,4123732.531
002594.SZ,20250702,332.0,333.86,328.93,330.66,93270.11,3083342.65
002594.SZ,20250701,330.3,333.35,328.79,331.34,88518.04,2931303.337
002594.SZ,20250630,334.24,334.24,328.59,331.91,144003.44,4768270.278
002594.SZ,20250627,334.0,336.72,333.44,334.24,138617.49,4633461.708
002594.SZ,20250626,344.31,344.31,336.83,337.44,204932.14,6967640.374
002594.SZ,20250625,345.99,349.73,343.02,349.27,125738.27,4352301.72
002594.SZ,20250624,341.23,346.2,341.23,343.38,144712.59,4979495.319
002594.SZ,20250623,336.85,339.71,333.6,338.2,94593.34,3185477.391
002594.SZ,20250620,340.03,342.97,339.8,340.25,73538.16,2507526.43
002594.SZ,20250619,344.03,345.29,340.35,340.5,100381.21,3437688.887
002594.SZ,20250618,342.82,349.2,341.97,346.95,102896.97,3565398.002
002594.SZ,20250617,344.0,346.4,342.4,343.74,70045.3,2408912.944
002594.SZ,20250616,345.99,347.04,340.8,344.43,102284.05,3508947.839
002594.SZ,20250613,349.5,349.91,341.49,346.0,210239.87,7256548.254
002594.SZ,20250612,359.89,359.89,353.01,353.24,144046.96,5117764.844
002594.SZ,20250611,354.01,365.98,354.01,361.99,203106.74,7326544.794
002594.SZ,20250610,349.6,355.0,348.23,353.13,171785.88,6042960.183
002594.SZ,20250609,356.12,356.41,345.11,348.14,255091.34,8932441.523
002594.SZ,20250606,361.0,362.38,357.5,359.96,89697.68,3228098.168
002594.SZ,20250605,362.39,362.74,356.03,360.75,108612.75,3908084.318
002594.SZ,20250604,359.5,364.32,358.15,360.52,146904.1,5311224.037
002594.SZ,20250603,351.25,357.99,349.0,356.0,181892.7,6453885.813
002594.SZ,20250530,357.02,358.8,351.3,352.3,190559.91,6733498.591
002594.SZ,20250529,359.59,366.0,355.08,361.13,192061.13,6942900.395
002594.SZ,20250528,372.41,372.95,362.07,362.88,177753.88,6513230.209
002594.SZ,20250527,375.88,381.0,368.88,372.41,230275.44,8594833.865
002594.SZ,20250526,401.81,403.0,380.0,381.0,309550.63,12014228.946
002594.SZ,20250523,399.0,416.98,398.13,405.0,235574.18,9627525.188
002594.SZ,20250522,399.98,405.56,398.0,398.8,146362.8,5868800.084
002594.SZ,20250521,393.94,404.0,391.01,400.0,199478.86,7967115.092
002594.SZ,20250520,383.5,394.8,381.5,394.8,172099.91,6705400.029
002594.SZ,20250519,388.0,388.0,377.0,382.81,161372.81,6159126.224
002594.SZ,20250516,375.03,390.99,373.58,389.17,229327.94,8858484.484
002594.SZ,20250515,373.0,385.0,369.28,376.8,208801.37,7894571.015
002594.SZ,20250514,366.5,373.1,363.36,373.1,135693.07,5012059.707
002594.SZ,20250513,376.0,376.58,366.03,366.5,131771.07,4874657.844
002594.SZ,20250512,365.0,370.28,360.58,370.28,161370.17,5890708.994
002594.SZ,20250509,360.75,366.0,359.3,363.22,143726.16,5218995.471
002594.SZ,20250508,356.52,361.98,355.7,359.28,83381.69,2994908.337
002594.SZ,20250507,365.0,365.68,358.14,359.2,108839.9,3937980.382
