ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20250730,1444.0,1457.16,1437.0,1449.44,31867.71,4612883.04
600519.SH,20250729,1439.6,1448.79,1435.01,1439.0,26304.08,3785848.102
600519.SH,20250728,1453.0,1454.99,1436.3,1438.66,38586.32,5560966.386
600519.SH,20250725,1491.4,1491.4,1453.0,1455.0,41911.26,6140078.741
600519.SH,20250724,1476.0,1499.0,1475.0,1491.5,38803.64,5786337.377
600519.SH,20250723,1469.0,1495.0,1468.95,1475.5,45044.84,6676301.462
600519.SH,20250722,1444.0,1466.6,1440.68,1464.98,42118.98,6127636.851
600519.SH,20250721,1436.99,1446.8,1435.0,1443.0,26203.31,3779891.829
600519.SH,20250718,1420.0,1437.81,1416.38,1437.0,41823.41,5984949.774
600519.SH,20250717,1413.98,1423.01,1412.88,1416.35,23105.54,3273100.406
600519.SH,20250716,1410.01,1417.49,1409.95,1411.03,21286.05,3006882.579
600519.SH,20250715,1420.98,1422.93,1408.32,1411.0,35405.78,5005150.165
600519.SH,20250714,1430.0,1434.98,1421.6,1423.6,27780.94,3961736.006
600519.SH,20250711,1423.16,1458.0,1423.16,1427.0,57243.35,8239010.39
600519.SH,20250710,1418.97,1436.18,1410.4,1426.5,38725.03,5503329.754
600519.SH,20250709,1415.0,1429.97,1414.17,1418.88,27745.32,3950810.723
600519.SH,20250708,1410.71,1420.0,1410.7,1416.11,18673.7,2643302.691
600519.SH,20250707,1422.28,1423.5,1410.01,1410.7,23854.67,3370562.659
600519.SH,20250704,1415.7,1431.89,1410.01,1422.22,28766.91,4086547.268
600519.SH,20250703,1412.0,1422.69,1408.0,1415.6,24412.67,3456733.002
600519.SH,20250702,1409.5,1414.8,1400.0,1409.6,26218.25,3689246.316
600519.SH,20250701,1409.0,1411.94,1403.31,1405.1,19878.19,2794423.203
600519.SH,20250630,1403.5,1413.23,1402.0,1409.52,30457.3,4287373.691
600519.SH,20250627,1420.01,1423.0,1403.09,1403.09,38249.73,5404312.675
600519.SH,20250626,1415.0,1428.0,1410.08,1420.0,34860.25,4955829.982
600519.SH,20250625,1439.11,1449.2,1420.51,1435.86,41050.07,5869292.227
600519.SH,20250624,1423.35,1451.68,1423.35,1437.2,36311.51,5229183.514
600519.SH,20250623,1420.0,1433.0,1405.18,1420.0,26723.31,3794012.343
600519.SH,20250620,1423.58,1441.14,1420.2,1428.66,34815.81,4990683.314
600519.SH,20250619,1426.0,1433.67,1417.18,1426.0,24500.72,3490268.568
600519.SH,20250618,1440.0,1443.44,1421.01,1425.0,30760.99,4404131.364
600519.SH,20250617,1420.0,1427.0,1412.18,1427.0,27231.51,3868364.671
600519.SH,20250616,1401.2,1425.04,1401.18,1422.29,42887.87,6060448.438
600519.SH,20250613,1444.41,1449.97,1425.06,1426.95,59113.25,8466515.559
600519.SH,20250612,1480.0,1483.87,1454.1,1459.0,49903.61,7306800.8
600519.SH,20250611,1476.8,1494.0,1476.1,1480.0,30892.82,4585522.755
600519.SH,20250610,1486.0,1492.0,1474.8,1475.01,30492.2,4511934.584
600519.SH,20250609,1505.02,1508.7,1485.68,1486.11,44958.67,6723839.138
600519.SH,20250606,1513.8,1518.97,1503.0,1506.39,25023.07,3777727.616
600519.SH,20250605,1514.0,1516.0,1502.2,1514.0,23213.66,3504925.524
600519.SH,20250604,1510.5,1523.0,1509.22,1509.96,23008.09,3480363.797
600519.SH,20250603,1508.01,1519.0,1505.02,1509.0,28979.18,4377892.799
600519.SH,20250530,1540.15,1545.0,1515.24,1522.0,31239.18,4764875.947
600519.SH,20250529,1540.0,1555.0,1532.0,1540.0,21859.58,3375465.796
600519.SH,20250528,1543.99,1546.46,1533.0,1537.0,16265.68,2504624.605
600519.SH,20250527,1551.0,1558.6,1543.51,1543.9,17752.13,2748945.675
600519.SH,20250526,1570.0,1574.63,1545.0,1550.5,27086.53,4212944.43
600519.SH,20250523,1575.2,1587.9,1571.66,1572.6,21537.0,3399424.961
600519.SH,20250522,1580.99,1584.99,1570.1,1580.0,15090.24,2381236.586
600519.SH,20250521,1585.0,1595.94,1580.97,1580.97,19794.64,3143941.416
600519.SH,20250520,1580.0,1594.8,1575.1,1586.0,19521.53,3095742.637
600519.SH,20250519,1596.0,1600.0,1573.88,1578.98,38062.83,6021950.01
600519.SH,20250516,1633.99,1636.99,1614.13,1614.13,22935.22,3714508.659
600519.SH,20250515,1634.8,1643.59,1624.13,1632.01,24732.85,4043402.636
600519.SH,20250514,1590.0,1645.0,1588.18,1634.99,39460.12,6394735.058
600519.SH,20250513,1608.92,1608.92,1585.11,1590.3,21258.29,3386617.848
600519.SH,20250512,1598.0,1618.93,1596.61,1604.5,24735.33,3967785.8
600519.SH,20250509,1578.99,1597.45,1575.05,1591.18,23671.9,3757574.546
600519.SH,20250508,1553.0,1592.78,1549.83,1578.19,33481.06,5265446.444
600519.SH,20250507,1570.0,1570.0,1550.2,1555.0,27462.21,4275142.569
600519.SH,20250506,1559.0,1559.0,1544.33,1550.2,18300.26,2838614.215
600519.SH,20250430,1549.99,1566.66,1546.3,1547.0,25754.25,4005439.429
600519.SH,20250429,1550.0,1552.54,1532.02,1544.0,18921.8,2917422.938
600519.SH,20250428,1552.0,1555.0,1546.6,1550.0,14659.72,2274252.465
600519.SH,20250425,1557.1,1561.2,1550.0,1550.0,14764.9,2295029.705
600519.SH,20250424,1552.0,1560.68,1548.98,1552.25,14871.81,2313372.072
600519.SH,20250423,1559.0,1559.22,1545.0,1552.0,18668.76,2895468.892
600519.SH,20250422,1550.0,1556.3,1543.21,1548.8,18432.14,2857525.967
600519.SH,20250421,1565.5,1565.5,1551.0,1551.0,18057.03,2808158.177
600519.SH,20250418,1566.0,1575.0,1556.0,1565.94,20298.48,3179974.34
600519.SH,20250417,1554.0,1576.5,1549.99,1570.0,23846.05,3733924.973
600519.SH,20250416,1552.0,1576.0,1537.0,1559.17,31156.05,4834880.596
600519.SH,20250415,1552.0,1565.0,1545.0,1558.0,21489.28,3339942.729
600519.SH,20250414,1560.97,1566.0,1551.53,1551.99,21711.44,3379425.64
600519.SH,20250411,1579.97,1579.97,1545.0,1568.98,32634.23,5087359.924
600519.SH,20250410,1550.99,1555.0,1528.0,1549.0,38620.21,5963650.791
600519.SH,20250409,1525.02,1556.8,1520.55,1541.04,55630.04,8562928.225
600519.SH,20250408,1513.0,1545.0,1495.0,1545.0,73876.49,11226977.557
600519.SH,20250407,1520.01,1536.85,1462.0,1500.0,101952.67,15314738.235
600519.SH,20250403,1530.0,1586.0,1529.01,1568.88,35480.5,5557442.052
600519.SH,20250402,1558.0,1567.8,1545.5,1549.02,21674.01,3371883.024
600519.SH,20250401,1564.0,1569.89,1552.21,1556.02,18556.44,2893739.955
600519.SH,20250331,1580.98,1586.96,1560.06,1561.0,21084.94,3311857.714
600519.SH,20250328,1590.93,1593.0,1576.0,1585.21,16227.89,2569470.015
600519.SH,20250327,1576.0,1598.25,1573.38,1589.0,17955.63,2848889.21
600519.SH,20250326,1572.77,1582.58,1571.0,1576.0,14323.56,2257639.75
600519.SH,20250325,1588.0,1592.8,1566.66,1575.5,17674.38,2783286.813
600519.SH,20250324,1570.0,1589.66,1562.38,1583.0,25565.85,4032223.482
600519.SH,20250321,1599.0,1612.2,1568.83,1573.75,33614.3,5324973.19
600519.SH,20250320,1635.71,1637.6,1595.07,1604.0,36736.77,5903879.207
600519.SH,20250319,1624.29,1648.0,1623.0,1635.71,27389.55,4477128.77
600519.SH,20250318,1645.04,1652.0,1621.7,1624.0,31613.45,5153210.436
600519.SH,20250317,1657.0,1657.99,1626.88,1637.86,54689.13,8985138.902
600519.SH,20250314,1547.66,1628.01,1541.0,1628.01,92913.15,14882842.708
600519.SH,20250313,1544.0,1555.5,1530.88,1537.77,25724.39,3966369.271
600519.SH,20250312,1546.96,1549.68,1526.35,1542.58,29603.96,4552923.644
600519.SH,20250311,1517.0,1548.68,1512.0,1548.68,39775.6,6094007.854
600519.SH,20250310,1519.81,1526.88,1506.14,1522.9,31369.07,4758789.26
600519.SH,20250307,1503.0,1528.36,1503.0,1521.0,37991.35,5760608.729
600519.SH,20250306,1474.0,1510.2,1472.08,1505.98,42167.64,6297117.4
600519.SH,20250305,1472.0,1474.0,1460.1,1466.37,24605.22,3606932.152
600519.SH,20250304,1485.0,1486.0,1465.21,1470.11,25211.21,3710675.863
600519.SH,20250303,1502.6,1520.99,1481.5,1487.02,31595.66,4736679.903
600519.SH,20250228,1485.5,1528.38,1482.0,1500.79,56128.95,8475738.166
600519.SH,20250227,1460.02,1489.9,1454.0,1485.56,49762.17,7368002.361
600519.SH,20250226,1455.45,1464.96,1445.0,1460.01,26366.09,3835949.041
600519.SH,20250225,1470.01,1473.39,1452.0,1454.0,28387.43,4142814.459
600519.SH,20250224,1488.0,1499.52,1474.0,1479.07,34743.73,5157907.322
600519.SH,20250221,1480.0,1496.73,1473.01,1488.21,36417.83,5418169.587
600519.SH,20250220,1483.0,1491.97,1473.39,1474.0,23749.73,3513552.984
600519.SH,20250219,1475.05,1494.44,1464.9,1491.0,32393.31,4803378.441
600519.SH,20250218,1470.0,1492.99,1462.08,1475.0,27799.92,4113845.397
600519.SH,20250217,1481.0,1494.98,1467.1,1471.62,32470.59,4804663.813
600519.SH,20250214,1465.06,1477.0,1458.22,1475.0,27099.92,3978694.098
600519.SH,20250213,1443.02,1475.25,1434.51,1465.06,43385.36,6335985.851
600519.SH,20250212,1418.0,1445.0,1416.88,1443.0,25475.79,3644170.477
600519.SH,20250211,1434.95,1435.96,1415.9,1418.0,23572.83,3348668.867
600519.SH,20250210,1438.0,1440.0,1427.09,1431.51,20839.79,2988101.756
600519.SH,20250207,1413.68,1442.68,1403.41,1436.0,37242.07,5310850.624
600519.SH,20250206,1400.01,1421.99,1400.01,1412.84,27355.82,3859568.163
600519.SH,20250205,1440.0,1443.0,1402.21,1403.8,40756.52,5753730.034
600519.SH,20250127,1437.0,1443.97,1427.02,1434.99,29356.46,4213534.543
600519.SH,20250124,1442.0,1447.79,1430.31,1436.0,31360.34,4515322.685
600519.SH,20250123,1449.97,1468.0,1438.0,1443.0,27125.04,3932700.85
600519.SH,20250122,1463.27,1467.95,1438.0,1441.0,28293.84,4088101.682
600519.SH,20250121,1481.0,1482.0,1465.0,1468.15,16856.04,2481821.229
600519.SH,20250120,1461.0,1489.79,1460.0,1474.8,31409.75,4647626.351
600519.SH,20250117,1446.39,1461.0,1446.38,1454.75,18308.94,2663227.309
600519.SH,20250116,1474.0,1482.66,1442.0,1446.38,26342.13,3840411.437
600519.SH,20250115,1467.0,1474.6,1460.01,1471.27,18399.34,2701518.712
600519.SH,20250114,1444.95,1478.68,1442.0,1472.5,30956.57,4535651.504
600519.SH,20250113,1425.0,1444.44,1422.01,1443.98,21082.51,3030806.87
600519.SH,20250110,1447.1,1451.95,1436.0,1436.0,21871.95,3154677.598
600519.SH,20250109,1448.99,1464.58,1432.98,1444.0,29705.65,4295852.736
600519.SH,20250108,1440.0,1451.82,1426.66,1442.5,35258.21,5071821.246
600519.SH,20250107,1444.66,1451.89,1439.0,1440.2,24221.18,3494634.227
600519.SH,20250106,1453.0,1462.66,1432.8,1440.0,44255.12,6392479.712
600519.SH,20250103,1494.5,1494.99,1467.01,1475.0,32628.36,4836610.288
600519.SH,20250102,1524.0,1524.49,1480.0,1488.0,50028.7,7490883.773
